Distortion_Type,Image,Average_SSIM_Score
JPEG_2000,021image_2_5.bmp,0.6910138452364578
JPEG_2000,021image_2_4.bmp,0.7512231004060745
JPEG_2000,021image_2_1.bmp,0.8740132954676741
JPEG_2000,021image_2_2.bmp,0.8138040402980574
JPEG_2000,021image_2_6.bmp,0.6855860549162
JPEG_2000,021image_2_9.bmp,0.6226268494744918
JPEG_2000,021image_2_3.bmp,0.8083762499777996
JPEG_2000,021image_2_7.bmp,0.6288083492430191
JPEG,003image_3_9.bmp,0.7616523797154051
JPEG,003image_3_7.bmp,0.8256753564441327
JPEG,003image_3_3.bmp,0.8806343889033912
JPEG,003image_3_6.bmp,0.8312358304490446
JPEG,003image_3_4.bmp,0.9017181364054266
JPEG,003image_3_5.bmp,0.8635530102233824
JPEG,003image_3_1.bmp,0.9511166948597733
JPEG,003image_3_8.bmp,0.7933581766697949
JPEG,003image_3_2.bmp,0.912951568677729
JPEG,007image_3_8.bmp,0.840745295027226
JPEG,007image_3_6.bmp,0.8470210471871383
JPEG,007image_3_5.bmp,0.8822497621179693
JPEG,007image_3_7.bmp,0.875974009958057
JPEG,007image_3_1.bmp,0.9444143644824153
JPEG,007image_3_2.bmp,0.9380894351706979
JPEG,007image_3_4.bmp,0.8885746914296868
JPEG,007image_3_3.bmp,0.9028607202398669
JPEG,007image_3_9.bmp,0.8048459631617386
JPEG,008image_3_5.bmp,0.8634017133103377
JPEG,008image_3_6.bmp,0.8153606240949144
JPEG,008image_3_8.bmp,0.7999594626389199
JPEG,008image_3_3.bmp,0.8757199258005075
JPEG,008image_3_1.bmp,0.9395441867050986
JPEG,008image_3_4.bmp,0.8791848849995054
JPEG,008image_3_7.bmp,0.8480005518543432
JPEG,008image_3_9.bmp,0.7536192006032056
JPEG,008image_3_2.bmp,0.9237610150159308
JPEG,009image_3_9.bmp,0.8178501010928053
JPEG,009image_3_1.bmp,0.9494650171190624
JPEG,009image_3_2.bmp,0.9304787067721481
JPEG,009image_3_6.bmp,0.8599637933906057
JPEG,009image_3_7.bmp,0.8613907402889205
JPEG,009image_3_3.bmp,0.9092020640030565
JPEG,009image_3_5.bmp,0.8812404361596973
JPEG,009image_3_4.bmp,0.9002267465066116
JPEG,009image_3_8.bmp,0.8401140975198289
JPEG,010image_3_1.bmp,0.9228774072402417
JPEG,010image_3_2.bmp,0.8538205797776947
JPEG,010image_3_9.bmp,0.6776577613722075
JPEG,010image_3_3.bmp,0.8391107658912582
JPEG,010image_3_8.bmp,0.693582176549161
JPEG,010image_3_4.bmp,0.8458193326685681
JPEG,010image_3_7.bmp,0.7082919904355974
JPEG,010image_3_6.bmp,0.7620526913195846
JPEG,010image_3_5.bmp,0.7767625052060211
JPEG,013image_3_1.bmp,0.9259843103259519
JPEG,013image_3_2.bmp,0.8917279916765768
JPEG,013image_3_7.bmp,0.7844310587090193
JPEG,013image_3_5.bmp,0.8178075407935013
JPEG,013image_3_6.bmp,0.8069183414040462
JPEG,013image_3_3.bmp,0.8808387922871217
JPEG,013image_3_8.bmp,0.7735418593195642
JPEG,013image_3_4.bmp,0.8520638594428763
JPEG,013image_3_9.bmp,0.7621894716535724
JPEG,015image_3_8.bmp,0.6879662882956064
JPEG,015image_3_2.bmp,0.8440985542246463
JPEG,015image_3_1.bmp,0.9140629639195057
JPEG,015image_3_7.bmp,0.6879662882956064
JPEG,015image_3_9.bmp,0.6879662882956064
JPEG,015image_3_6.bmp,0.7584784510131506
JPEG,015image_3_4.bmp,0.8284428607080099
JPEG,015image_3_5.bmp,0.7584784510131506
JPEG,015image_3_3.bmp,0.8440985542246463
JPEG,021image_3_4.bmp,0.8206434796990129
JPEG,021image_3_3.bmp,0.8522799550653706
JPEG,021image_3_2.bmp,0.8599112853467814
JPEG,021image_3_1.bmp,0.9095559201481574
JPEG,021image_3_6.bmp,0.763367514616226
JPEG,021image_3_7.bmp,0.7222535509175703
JPEG,021image_3_8.bmp,0.7146222206361594
JPEG,021image_3_5.bmp,0.7709988448976368
JPEG,021image_3_9.bmp,0.7077458312455411
Gaussian_Blur,003image_4_2.bmp,0.8080882572946071
Gaussian_Blur,003image_4_1.bmp,0.9091941288625718
Gaussian_Blur,003image_4_9.bmp,0.5882911960300489
Gaussian_Blur,003image_4_4.bmp,0.8194468035955504
Gaussian_Blur,003image_4_8.bmp,0.603038246601741
Gaussian_Blur,003image_4_6.bmp,0.7035545055003867
Gaussian_Blur,003image_4_7.bmp,0.6178246731289402
Gaussian_Blur,003image_4_5.bmp,0.7183409320275858
Gaussian_Blur,003image_4_3.bmp,0.793301830767408
Gaussian_Blur,007image_4_5.bmp,0.6520628084147021
Gaussian_Blur,007image_4_7.bmp,0.5897156621949016
Gaussian_Blur,007image_4_9.bmp,0.5896061731176054
Gaussian_Blur,007image_4_4.bmp,0.7166702758438028
Gaussian_Blur,007image_4_2.bmp,0.7921736882384557
Gaussian_Blur,007image_4_1.bmp,0.8567811556675564
Gaussian_Blur,007image_4_8.bmp,0.5896619971176107
Gaussian_Blur,007image_4_3.bmp,0.7921200231611647
Gaussian_Blur,007image_4_6.bmp,0.6520091433374111
Gaussian_Blur,008image_4_8.bmp,0.5768487153252388
Gaussian_Blur,008image_4_5.bmp,0.7790341890855589
Gaussian_Blur,008image_4_9.bmp,0.5431621123161688
Gaussian_Blur,008image_4_4.bmp,0.9462181148796001
Gaussian_Blur,008image_4_7.bmp,0.6100034651684757
Gaussian_Blur,008image_4_2.bmp,0.8061346705586161
Gaussian_Blur,008image_4_1.bmp,0.9733185963526572
Gaussian_Blur,008image_4_3.bmp,0.7729799207153791
Gaussian_Blur,008image_4_6.bmp,0.745879439242322
Gaussian_Blur,009image_4_1.bmp,0.960818581379917
Gaussian_Blur,009image_4_2.bmp,0.9551259074483165
Gaussian_Blur,009image_4_3.bmp,0.8293459155285281
