Distortion_Type,Image,SSIM_Score
blur,im17_3_r.bmp,0.9997825953210081
blur,im17_3_l.bmp,0.9998035296847807
blur,im18_1_l.bmp,0.6260123467762786
blur,im18_1_r.bmp,0.6189805661231631
blur,im18_3_l.bmp,0.917744218205204
blur,im18_3_r.bmp,0.9161493880602358
blur,im20_1_r.bmp,0.7421459610871491
blur,im20_1_l.bmp,0.748431128967804
blur,im20_2_l.bmp,0.36035913061190217
blur,im20_2_r.bmp,0.3470896744460187
blur,im20_4_r.bmp,0.6452753449131657
blur,im20_4_l.bmp,0.6535218338369005
blur,im21_1_r.bmp,0.9999893575453881
blur,im21_1_l.bmp,0.9999884091980499
blur,im21_3_r.bmp,0.9999948861969021
blur,im21_3_l.bmp,0.9999943348504381
blur,im21_4_r.bmp,0.32612980330145
blur,im21_4_l.bmp,0.3112842553732165
blur,im22_4_l.bmp,0.8789180691857925
blur,im22_4_r.bmp,0.8802678847633815
blur,im24_1_l.bmp,0.9626285093347385
blur,im24_1_r.bmp,0.9627880585754199
blur,im24_2_l.bmp,0.5764921902188347
blur,im24_2_r.bmp,0.577102625354259
blur,im24_3_r.bmp,0.986419104733929
blur,im24_3_l.bmp,0.9863596219914015
blur,im24_4_l.bmp,0.36130844703530285
blur,im24_4_r.bmp,0.3604905889454487
blur,im26_1_l.bmp,0.6221628665724036
blur,im26_1_r.bmp,0.6207428611253423
blur,im26_2_l.bmp,0.5656100818031172
blur,im26_2_r.bmp,0.5639071306661211
blur,im27_2_r.bmp,0.7057884893194806
blur,im27_2_l.bmp,0.7018778191384549
blur,im27_4_r.bmp,0.39013985318792993
blur,im27_4_l.bmp,0.38539168127615364
blur,im29_1_l.bmp,0.9819368097468476
blur,im29_1_r.bmp,0.9818399524790093
blur,im29_2_l.bmp,0.9996985045077506
blur,im29_2_r.bmp,0.9996973366864172
blur,im29_3_l.bmp,0.43825266239208244
blur,im29_3_r.bmp,0.4374776187917798
ff,im2_1_l.bmp,0.47661499052649803
ff,im2_1_r.bmp,0.47223376463887146
ff,im2_2_l.bmp,0.5229308336340274
ff,im2_2_r.bmp,0.47240298855583873
ff,im2_3_l.bmp,0.6217887965974115
ff,im2_3_r.bmp,0.472205300916006
ff,im2_4_l.bmp,0.5440631079126949
ff,im2_4_r.bmp,0.666568741609708
ff,im3_1_l.bmp,0.6910931024094257
ff,im3_1_r.bmp,0.6257944414856269
ff,im3_2_l.bmp,0.7035257462993315
ff,im3_2_r.bmp,0.4242297645776809
ff,im3_3_l.bmp,0.3735919105773458
ff,im3_3_r.bmp,0.4974259349811863
ff,im3_4_l.bmp,0.6443572301018231
ff,im3_4_r.bmp,0.5998790520542711
ff,im5_1_l.bmp,0.8591297568205251
ff,im5_1_r.bmp,0.8411640486574332
ff,im5_2_l.bmp,0.9185466114446005
ff,im5_2_r.bmp,0.4613967344570595
ff,im5_3_l.bmp,0.4628840714283787
ff,im5_3_r.bmp,0.44983169241930976
ff,im5_4_l.bmp,0.48780643730426515
ff,im5_4_r.bmp,0.5935165884410405
ff,im7_1_l.bmp,0.4698392362191648
ff,im7_1_r.bmp,0.7064812323968152
ff,im7_2_l.bmp,0.6876989546075969
ff,im7_2_r.bmp,0.7678845870889031
ff,im7_3_l.bmp,0.4846193084372095
ff,im7_3_r.bmp,0.5960980165315264
ff,im7_4_l.bmp,0.6739691703253455
ff,im7_4_r.bmp,0.5033036308609539
ff,im8_1_l.bmp,0.5752738262541199
ff,im8_1_r.bmp,0.8141461328028958
ff,im8_2_l.bmp,0.8698635549887094
ff,im8_2_r.bmp,0.7303360434671791
ff,im8_3_l.bmp,0.6793678469536601
ff,im8_3_r.bmp,0.8175727451035055
ff,im8_4_l.bmp,0.8814180242989552
ff,im8_4_r.bmp,0.894483345305898
ff,im10_1_l.bmp,0.3162169822636395
ff,im10_1_r.bmp,0.33568856663832725
ff,im10_2_l.bmp,0.4936629232047763
ff,im10_2_r.bmp,0.5188800586538828
ff,im10_3_l.bmp,0.2572984697016575
ff,im10_3_r.bmp,0.2853747813453793
ff,im10_4_l.bmp,0.3756362275537827
ff,im10_4_r.bmp,0.3414339580866374
ff,im12_1_l.bmp,0.41063705713566057
ff,im12_1_r.bmp,0.4937140427959867
ff,im12_2_l.bmp,0.4942446565508376
ff,im12_2_r.bmp,0.4775259711931821
ff,im12_3_l.bmp,0.4851016561666148
ff,im12_3_r.bmp,0.4048865904395522
ff,im12_4_l.bmp,0.43694380892199525
ff,im12_4_r.bmp,0.45204154188197254
ff,im13_1_l.bmp,0.9304588239808915
ff,im13_1_r.bmp,0.9711484048610675
ff,im13_2_l.bmp,0.6428379643836493
ff,im13_2_r.bmp,0.7801819451603347
ff,im13_3_l.bmp,0.5913492308991593
ff,im13_3_r.bmp,0.6368505692296601
ff,im13_4_l.bmp,0.6514547078353793
ff,im13_4_r.bmp,0.6302856838411239
ff,im14_1_l.bmp,0.5818243636906136
ff,im14_1_r.bmp,0.6459118470651779
ff,im14_2_l.bmp,0.5904599382629617
ff,im14_2_r.bmp,0.39383120139334105
ff,im14_3_l.bmp,0.3582415431479694
ff,im14_3_r.bmp,0.48144804743596226
ff,im14_4_l.bmp,0.5043749124056726
ff,im14_4_r.bmp,0.29424472731963947
